danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_available_markets,track_explicit,artist_number_featured,track_popularity,track_album_release_date_precision,track_duration_ms,track_album_total_tracks,award_status
0.526,0.37,3,-10.535,1,0.025,0.722,0.0,0.157,0.251,76.002,4,184,0,0,49,0,244666,10,nominee
0.465,0.147,2,-15.472,1,0.0298,0.882,3.09e-05,0.134,0.197,88.931,4,184,0,0,37,0,226813,10,nominee
0.535,0.311,6,-11.931,0,0.0282,0.701,0.000393,0.0759,0.0647,134.812,3,184,0,0,31,0,287773,10,nominee
0.532,0.0744,1,-16.092,1,0.0355,0.949,1.22e-05,0.106,0.125,117.131,3,184,0,0,63,0,270400,10,nominee
0.676,0.575,10,-11.198,1,0.0349,0.123,0.0917,0.0832,0.631,96.023,4,184,0,0,30,0,302466,10,nominee
0.152,0.192,9,-12.719,1,0.0336,0.894,0.00632,0.127,0.166,175.725,3,184,0,0,37,0,221120,10,nominee
0.366,0.02,0,-25.232,1,0.0318,0.987,0.93,0.0925,0.103,69.153,3,184,0,0,27,0,150453,10,nominee
0.519,0.311,4,-12.156,1,0.0403,0.711,0.17,0.108,0.135,139.91,4,184,0,0,46,0,308880,13,winner
0.618,0.477,8,-12.823,0,0.0347,0.585,0.0239,0.168,0.195,100.488,4,184,0,0,41,0,300600,13,winner
0.57,0.907,3,-7.822,1,0.0302,0.00111,0.618,0.0642,0.7,127.183,4,184,0,0,57,0,322000,13,winner
0.609,0.651,1,-11.054,0,0.0451,0.0297,0.413,0.0994,0.37,97.12,4,184,0,0,40,0,276640,13,winner
0.572,0.806,8,-12.316,1,0.0645,0.339,0.832,0.0681,0.388,142.951,4,184,0,0,41,0,381333,13,winner
0.708,0.708,0,-6.933,1,0.0383,0.0518,0.0117,0.0781,0.253,116.892,4,184,0,0,51,0,267345,13,winner
0.526,0.57,10,-10.504,1,0.0379,0.0723,0.707,0.106,0.212,139.952,4,184,0,0,41,0,287733,13,winner
0.638,0.77,11,-9.501,1,0.0403,0.0583,0.0835,0.117,0.421,139.849,4,184,0,0,39,0,268666,13,winner
0.601,0.617,1,-10.917,1,0.0354,0.661,0.0148,0.149,0.31,108.013,4,184,0,0,60,0,367333,13,winner
0.468,0.544,5,-11.574,0,0.0455,0.0391,0.741,0.175,0.22,84.987,4,184,0,0,58,0,251160,13,winner
0.554,0.543,10,-12.417,0,0.0356,0.721,0.306,0.0659,0.656,88.035,4,184,0,0,40,0,322746,13,winner
0.445,0.602,1,-10.49,0,0.041,0.486,0.00866,0.133,0.35,144.923,4,184,0,0,37,0,318466,13,winner
0.329,0.175,4,-17.667,1,0.0476,0.929,0.000545,0.106,0.16,98.38,3,184,0,0,34,0,331760,13,winner
0.807,0.552,4,-6.568,1,0.0333,0.00886,0.000218,0.238,0.783,93.006,4,185,0,0,55,0,323440,14,nominee
0.685,0.323,0,-8.695,1,0.0255,0.463,0.173,0.273,0.153,107.68,3,185,0,0,40,0,442133,14,nominee
0.555,0.678,0,-9.304,1,0.0486,0.0737,0.0724,0.0986,0.688,174.181,4,185,0,0,30,0,350133,14,nominee
0.552,0.698,1,-6.426,0,0.128,0.183,0.0301,0.106,0.584,78.853,4,185,0,0,25,0,471813,14,nominee
0.788,0.539,10,-7.164,0,0.192,0.00291,0.000784,0.0452,0.748,90.008,4,185,0,0,25,0,355680,14,nominee
0.657,0.645,1,-10.956,0,0.0283,0.284,0.716,0.275,0.829,98.982,4,185,0,0,28,0,251533,14,nominee
0.731,0.415,4,-10.512,0,0.0954,0.0914,0.183,0.268,0.417,93.014,4,185,0,0,23,0,319666,14,nominee
0.634,0.702,0,-9.65,1,0.0303,0.078,0.00417,0.095,0.397,127.982,4,185,0,0,21,0,230200,14,nominee
0.542,0.785,4,-7.066,1,0.0285,0.000483,0.121,0.0821,0.395,174.246,4,185,0,0,27,0,281800,14,nominee
0.584,0.854,9,-5.641,1,0.0383,0.00185,0.00161,0.225,0.782,139.073,3,185,0,0,19,0,343546,14,nominee
0.75,0.524,9,-9.233,1,0.0312,0.713,0.0235,0.114,0.433,95.016,4,185,0,0,21,0,225680,14,nominee
0.647,0.84,2,-7.559,1,0.0433,0.00055,0.0135,0.157,0.809,100.01,4,185,0,0,22,0,285306,14,nominee
0.595,0.493,7,-7.202,1,0.0252,0.0118,0.0025,0.119,0.13,100.132,4,185,0,0,23,0,331413,14,nominee
0.598,0.71,0,-9.182,1,0.0648,0.283,0.0876,0.0488,0.812,173.958,4,185,0,0,19,0,325520,14,nominee
0.605,0.437,1,-10.473,1,0.0373,0.37,0.055,0.11,0.33,81.967,4,3,0,0,36,0,358066,10,winner
0.581,0.654,0,-7.9,0,0.0316,0.0145,0.0,0.114,0.131,111.999,4,3,0,1,52,0,285893,10,winner
0.687,0.52,11,-12.275,0,0.0452,0.0609,0.0182,0.114,0.366,160.084,4,3,0,0,23,0,305106,10,winner
0.642,0.787,10,-8.224,0,0.0345,0.0633,2.32e-06,0.108,0.547,109.484,4,3,0,0,25,0,303020,10,winner
0.763,0.56,1,-8.343,1,0.0853,0.0823,0.0,0.112,0.477,88.968,4,3,0,0,21,0,324226,10,winner
0.626,0.496,7,-11.964,0,0.0385,0.114,3.19e-05,0.111,0.507,97.042,4,3,0,0,20,0,289373,10,winner
0.355,0.108,2,-30.056,1,0.0438,0.722,0.0764,0.106,0.0388,159.06,3,3,0,0,1,0,20960,10,winner
0.429,0.66,2,-9.821,1,0.0425,0.0497,5.04e-06,0.115,0.552,101.635,3,3,0,0,21,0,338573,10,winner
0.66,0.351,4,-11.816,1,0.0281,0.585,4.5e-06,0.104,0.47,120.091,4,3,0,0,26,0,329600,10,winner
0.496,0.803,4,-7.424,1,0.0789,0.19,9.68e-06,0.0767,0.391,157.456,3,3,0,0,43,0,379826,10,winner
0.22,0.675,2,-7.352,1,0.0298,0.216,5.1e-06,0.634,0.242,170.428,4,184,0,0,24,0,246666,14,nominee
0.254,0.454,9,-9.0,1,0.0297,0.288,0.000564,0.856,0.067,141.215,4,184,0,0,25,0,318506,14,nominee
0.337,0.585,9,-9.532,1,0.0321,0.103,0.000708,0.956,0.247,94.535,4,184,0,0,23,0,310933,14,nominee
0.362,0.404,9,-11.111,1,0.0285,0.637,6.64e-05,0.864,0.365,73.437,4,184,0,0,25,0,222840,14,nominee
0.459,0.532,3,-8.484,1,0.0265,0.473,2.3e-06,0.747,0.335,80.932,4,184,0,0,21,0,238066,14,nominee
0.519,0.447,8,-12.227,1,0.0308,0.189,0.00581,0.745,0.178,112.127,4,184,0,0,22,0,269653,14,nominee
0.414,0.231,2,-14.047,1,0.0334,0.935,6.83e-06,0.942,0.223,92.22,4,184,0,0,24,0,249986,14,nominee
0.504,0.515,11,-10.717,1,0.0255,0.21,3.22e-05,0.845,0.209,91.672,4,184,0,0,23,0,363426,14,nominee
0.391,0.444,9,-10.078,1,0.0291,0.134,0.000188,0.954,0.144,94.007,4,184,0,0,21,0,301160,14,nominee
0.545,0.818,6,-8.298,0,0.0508,0.0077,0.00071,0.963,0.491,100.085,4,184,0,0,23,0,313653,14,nominee
0.551,0.779,9,-7.79,1,0.0447,0.00368,0.000186,0.685,0.522,113.118,4,184,0,0,22,0,238720,14,nominee
0.379,0.675,8,-9.676,0,0.0358,0.024,0.000678,0.897,0.399,142.636,3,184,0,0,23,0,182146,14,nominee
0.355,0.764,10,-8.323,0,0.0469,0.00598,0.000974,0.403,0.535,169.358,4,184,0,0,21,0,347680,14,nominee
0.284,0.141,2,-15.506,1,0.0345,0.966,1.88e-05,0.729,0.225,142.544,4,184,0,0,19,0,349146,14,nominee
0.858,0.546,9,-8.08,1,0.0537,0.331,0.0278,0.0543,0.824,102.998,4,184,0,0,33,0,353800,9,winner
0.883,0.4,9,-9.648,0,0.0441,0.295,4.56e-06,0.114,0.669,112.998,4,184,0,0,35,0,317400,9,winner
0.699,0.784,1,-7.955,1,0.0598,0.119,0.00239,0.0752,0.809,179.99,3,184,0,0,28,0,377866,9,winner
0.916,0.365,10,-8.676,0,0.0476,0.077,0.0231,0.092,0.749,105.986,4,184,0,0,29,0,249106,9,winner
0.808,0.456,7,-11.07,0,0.0282,0.664,0.00585,0.109,0.383,111.034,4,184,0,0,29,0,249933,9,winner
0.899,0.388,6,-9.037,0,0.0461,0.345,0.0259,0.0665,0.69,91.506,4,184,0,0,40,0,377600,9,winner
0.832,0.554,10,-8.918,1,0.0441,0.17,0.0495,0.0796,0.859,139.978,4,184,0,0,36,0,328293,9,winner
0.635,0.39,10,-12.198,0,0.0306,0.61,0.00735,0.269,0.419,101.16,4,184,0,0,25,0,334800,9,winner
0.74,0.536,11,-9.052,0,0.0496,0.619,0.0402,0.2,0.757,149.532,4,184,0,0,25,0,501600,9,winner
0.779,0.794,9,-4.739,0,0.0822,0.049,0.0,0.0637,0.722,109.149,4,184,0,0,15,0,290800,13,nominee
0.569,0.497,4,-6.632,0,0.0269,0.344,2.34e-05,0.134,0.0877,72.346,4,184,0,0,40,0,331666,13,nominee
0.402,0.177,4,-13.08,1,0.0358,0.862,0.0,0.0903,0.239,154.247,4,184,0,0,26,0,217186,13,nominee
0.642,0.48,2,-6.468,1,0.0257,0.0765,2.22e-05,0.186,0.304,146.035,4,184,0,0,27,0,313253,13,nominee
0.598,0.797,1,-4.374,0,0.0431,0.232,0.0,0.0661,0.788,86.004,4,184,0,0,16,0,337546,13,nominee
0.571,0.25,7,-10.2,0,0.0298,0.649,3.24e-05,0.0497,0.237,113.694,4,184,0,0,25,0,349573,13,nominee
0.441,0.76,4,-4.689,0,0.0307,0.207,1.37e-05,0.381,0.0681,79.946,4,184,1,0,14,0,290026,13,nominee
0.469,0.748,5,-4.534,1,0.0357,0.298,0.0,0.0603,0.18,155.516,4,184,0,0,15,0,359933,13,nominee
0.599,0.398,7,-8.747,1,0.0246,0.705,0.000101,0.134,0.128,129.282,4,184,0,0,13,0,433493,13,nominee
0.749,0.718,0,-5.643,1,0.0473,0.0525,0.0,0.164,0.614,105.229,4,184,0,0,16,0,402226,13,nominee
0.593,0.935,2,-4.429,1,0.0967,0.107,0.000105,0.268,0.377,105.658,4,184,0,0,11,0,345433,13,nominee
0.429,0.111,6,-11.545,1,0.0337,0.925,0.0,0.106,0.262,75.337,4,184,0,0,19,0,221644,13,nominee
0.602,0.685,10,-4.422,1,0.0252,0.154,0.0,0.169,0.431,93.27,4,184,0,0,22,0,309916,13,nominee
0.653,0.429,11,-10.473,1,0.0297,0.0849,0.00371,0.0693,0.627,146.073,4,185,0,0,69,0,274933,11,winner
0.786,0.362,7,-11.289,1,0.1,0.0732,0.393,0.0879,0.565,83.991,4,185,0,0,55,0,274266,11,winner
0.722,0.426,8,-9.952,1,0.0378,0.366,0.022,0.0743,0.38,82.489,4,185,0,0,54,0,293000,11,winner
0.772,0.28,5,-9.527,0,0.0856,0.0225,0.476,0.318,0.522,168.023,4,185,0,0,51,0,301266,11,winner
0.804,0.52,4,-8.382,1,0.035,0.224,0.00518,0.0944,0.688,81.032,4,185,0,0,53,0,160626,11,winner
0.848,0.391,9,-9.557,0,0.0489,0.0753,0.000533,0.0729,0.687,118.005,4,185,0,0,42,0,252466,11,winner
0.686,0.0939,0,-18.367,1,0.041,0.92,0.000496,0.106,0.307,120.646,3,185,0,0,42,0,138626,11,winner
0.78,0.497,9,-8.725,0,0.0414,0.0745,0.000395,0.107,0.403,88.028,4,185,0,0,42,0,244706,11,winner
0.746,0.364,2,-9.891,1,0.072,0.0306,0.00194,0.12,0.619,170.017,4,185,0,0,44,0,228026,11,winner
0.744,0.447,2,-11.735,1,0.0437,0.0194,0.00103,0.0771,0.78,145.855,4,185,0,0,58,0,253106,11,winner
0.373,0.0185,6,-22.553,1,0.0383,0.97,0.000186,0.11,0.148,71.675,3,185,0,0,43,0,233533,11,winner
0.698,0.878,7,-3.686,1,0.0378,0.17,8.07e-05,0.143,0.462,88.453,4,3,0,0,17,0,250226,12,nominee
0.697,0.735,7,-2.518,0,0.0979,0.093,9.16e-06,0.639,0.799,155.218,4,3,1,0,22,0,234306,12,nominee
0.757,0.799,5,-5.822,0,0.114,0.178,0.000165,0.0699,0.899,162.223,4,3,0,0,15,0,226400,12,nominee
0.765,0.738,8,-6.043,0,0.2,0.372,0.0,0.146,0.541,158.193,4,3,0,0,14,0,214733,12,nominee
0.622,0.609,10,-5.084,1,0.0359,0.138,5.28e-06,0.273,0.608,89.66,4,3,0,0,53,0,243160,12,nominee
0.587,0.679,2,-6.26,1,0.0929,0.0839,0.000323,0.413,0.65,180.184,4,3,0,0,37,0,276106,12,nominee
0.808,0.718,4,-4.04,0,0.104,0.00283,0.0339,0.32,0.472,99.196,4,3,0,0,14,0,212693,12,nominee
0.753,0.563,11,-6.396,0,0.125,0.0781,1.45e-06,0.0779,0.414,178.059,4,3,0,0,14,0,242800,12,nominee
0.631,0.692,0,-5.852,1,0.115,0.0171,0.000598,0.121,0.444,160.182,4,3,0,0,13,0,179666,12,nominee
0.737,0.819,2,-7.021,1,0.0663,0.509,0.000171,0.449,0.822,149.104,4,3,0,0,12,0,263000,12,nominee
0.713,0.677,5,-6.387,0,0.0633,0.17,1.03e-05,0.104,0.746,155.449,4,3,1,0,14,0,236893,12,nominee
