track_album_id,album_name,artist,featured_artist_album,featured_artist_track_mean,duration_album,duration_track_mean,danceability_mean,energy_mean,key_mode,loudness_mean,mode_mean,speechiness_mean,acousticness_mean,instrumentalness_mean,liveness_mean,valence_mean,tempo_mean,time_signature_mean,avaliable_markets,explicit_tracks,track_popularity,release_date,release_date_precision
2pmZbxvc1ysu9pddrpAZe9,Before This World,James Taylor,0,0,2510103,251010.3,0.563,0.39540000000000003,4,-10.685,1,0.03407,0.6448,0.007195558,0.13604,0.41709999999999997,124.4818,4,184,0,21.9,2015,day
2scB1uhcCI1TSf6b9TCZK3,FutureSex/LoveSounds,Justin Timberlake,5,0.4166666666666667,3976863,331405.25,0.7636666666666666,0.5989166666666667,11,-6.225666666666666,0,0.105025,0.18945833333333334,0.002669114166666667,0.22024166666666667,0.6431666666666667,108.09691666666667,4,185,3,51.333333333333336,2006,day
2vD3zSQr8hNlg0obNel4TE,Camila,Camila Cabello,1,0.09090909090909091,2220303,201845.72727272726,0.6243636363636363,0.5519090909090909,0,-5.890272727272727,1,0.12036363636363637,0.40763636363636363,1.0514545454545455e-4,0.11048181818181818,0.43681818181818183,108.12209090909091,4,185,0,54.45454545454545,2018,day
2vk0n8aeQSO74VtQBbNDPR,Falling into You,Céline Dion,0,0,4558885,284930.3125,0.4836875,0.514375,0,-9.212125,1,0.03729375,0.35139375,0.001469268125,0.19838125,0.31451875,139.653375,4,185,0,49.6875,1996,day
33pt9HBdGlAbRGBHQgsZsU,Evolve,Imagine Dragons,0,0,2587052,215587.66666666666,0.5681666666666667,0.7114166666666667,2,-6.153583333333334,1,0.07034166666666666,0.12290333333333334,0.019030242500000003,0.15814999999999999,0.38054166666666667,131.1025,4,184,0,63.916666666666664,2017,day
35dJsQDEr549O5DTFUy3uM,Loud,Rihanna,3,0.2727272727272727,2812117,255647,0.6292727272727273,0.7607272727272727,6,-4.4091818181818185,1,0.08954545454545454,0.12327272727272727,1.6464545454545457e-5,0.12955454545454545,0.5068181818181818,130.59236363636364,4,45.27272727272727,2,37.36363636363637,2010,day
38alWeQVP9UUAGJvLptys9,Left Of The Middle,Natalie Imbruglia,1,0.08333333333333333,3053048,254420.66666666666,0.5139166666666667,0.7269166666666667,5,-6.79325,1,0.045241666666666666,0.07286025,0.012773924166666666,0.27285,0.46316666666666667,107.29983333333334,4,185,0,32.75,1997,day
38xW9kksFyiS5sc0tU082f,Brainwashed,George Harrison,0,0,2866810,238900.83333333334,0.6268333333333334,0.5845833333333333,2,-7.1972499999999995,1,0.033308333333333336,0.5126166666666666,0.011455048333333334,0.1698,0.5267583333333333,105.83966666666667,4,185,0,28,2002,day
3AvPX1B1HiFROvYjLb5Qwi,25,Adele,0,0,2905897,264172.45454545453,0.4964545454545454,0.5000909090909091,5,-6.171818181818182,1,0.042763636363636365,0.3686927272727273,2.2772727272727273e-6,0.14803636363636363,0.29554545454545456,123.06772727272727,4,23,0,63.09090909090909,2015,day
3BmcYMh0KYsimWL6p2gPa9,My World 2.0,Justin Bieber,3,0.3,2253464,225346.4,0.6742,0.7137,5,-5.2466,1,0.04702,0.13148,1.17e-7,0.15721,0.5678,116.5812,4,163.8,0,56.6,2010,day
