danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_available_markets,track_explicit,artist_number_featured,track_popularity,track_album_release_date_precision,track_duration_ms,track_album_total_tracks,award_status
0.694,0.523,2,-6.407,0,0.0254,0.875,0.000172,0.352,0.472,97.985,4,3,0,0,35,0,209453,10,winner
0.357,0.241,2,-12.366,1,0.0618,0.94,0.000129,0.353,0.227,91.195,4,3,0,0,35,0,197893,10,winner
0.598,0.443,2,-6.493,0,0.0342,0.456,6.06e-05,0.182,0.386,108.045,4,3,0,0,24,0,236426,10,winner
0.793,0.859,0,-3.774,1,0.0332,0.266,0.000356,0.133,0.964,129.911,4,3,0,0,57,0,219920,10,winner
0.559,0.598,0,-6.316,0,0.0566,0.451,1.04e-06,0.248,0.7,207.905,4,3,0,0,26,0,177413,10,winner
0.514,0.435,9,-7.772,1,0.0288,0.429,2.18e-05,0.152,0.408,90.078,4,3,0,0,35,0,189306,10,winner
0.399,0.604,2,-4.325,1,0.0288,0.00426,0.00126,0.386,0.146,94.962,4,3,0,0,37,0,305666,10,winner
0.866,0.857,9,-5.894,1,0.0664,0.13,0.0017,0.13,0.408,130.049,4,184,1,0,64,0,251440,15,winner
0.715,0.907,7,-6.025,0,0.0993,0.0172,8.39e-05,0.426,0.841,124.991,4,184,0,0,59,0,268840,15,winner
0.798,0.629,11,-6.857,0,0.0735,0.00474,2.29e-05,0.324,0.4,130.002,4,184,0,0,72,0,284373,15,winner
0.597,0.517,0,-6.963,1,0.366,0.179,0.0,0.307,0.413,92.035,4,184,1,0,64,0,257560,15,winner
0.744,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.966,4,184,0,0,73,0,289133,15,winner
0.801,0.643,11,-7.07,0,0.0375,0.0676,0.00047,0.612,0.568,115.037,4,184,0,0,45,0,303453,15,winner
0.8,0.728,0,-5.419,0,0.0991,0.217,0.0,0.411,0.404,126.07,4,184,0,0,41,0,274546,15,winner
0.677,0.831,7,-7.372,0,0.0803,0.165,0.0,0.187,0.62,124.881,4,184,0,0,38,0,272760,15,winner
0.698,0.821,0,-5.749,1,0.0492,0.0384,0.0,0.489,0.351,128.018,4,184,1,0,41,0,283586,15,winner
0.928,0.47,7,-6.712,1,0.133,0.00437,0.0203,0.113,0.711,121.039,4,184,0,0,34,0,231893,15,winner
0.771,0.471,0,-6.012,1,0.0786,0.00754,0.00214,0.143,0.403,89.015,4,184,0,0,32,0,248133,15,winner
0.75,0.609,5,-6.596,0,0.205,0.00847,0.0,0.43,0.479,128.614,4,184,0,0,32,0,267386,15,winner
0.797,0.737,2,-7.148,1,0.155,0.134,0.0,0.146,0.848,144.989,4,184,0,0,30,0,245906,15,winner
0.854,0.475,9,-9.436,0,0.127,0.334,0.000231,0.182,0.799,119.993,4,184,0,0,33,0,280626,15,winner
0.89,0.444,8,-9.001,0,0.0668,0.0446,0.123,0.117,0.407,128.022,4,184,0,0,33,0,225773,15,winner
0.695,0.921,0,-3.752,1,0.0363,0.00314,5.26e-05,0.0842,0.714,119.007,4,183,1,0,43,0,294573,8,winner
0.623,0.795,11,-6.63,0,0.046,0.000399,0.0014,0.375,0.358,98.995,4,183,0,0,39,0,274213,8,winner
0.695,0.801,9,-4.503,0,0.0441,0.00124,0.0,0.479,0.646,119.973,4,183,1,0,37,0,249280,8,winner
0.298,0.702,0,-4.181,1,0.0398,0.441,0.0,0.35,0.429,143.824,4,183,0,0,27,0,270813,8,winner
0.639,0.751,0,-6.358,0,0.0324,2.97e-05,4.96e-05,0.163,0.14,120.992,4,183,1,0,31,0,288960,8,winner
0.824,0.837,3,-5.903,1,0.0405,0.00521,0.000817,0.112,0.715,122.013,4,183,0,1,38,0,220640,8,winner
0.557,0.772,0,-5.068,1,0.0304,0.000318,0.00223,0.176,0.324,99.965,4,183,0,0,31,0,234866,8,winner
0.708,0.826,11,-5.164,1,0.0476,0.0327,0.0,0.0868,0.519,96.019,4,183,0,0,26,0,220706,8,winner
0.73,0.769,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,4,23,0,0,77,0,228093,11,winner
0.612,0.749,0,-5.014,1,0.0446,0.615,0.0,0.167,0.574,120.052,4,23,0,0,64,0,223266,11,winner
0.353,0.446,0,-6.044,0,0.0285,0.95,1.35e-05,0.132,0.211,155.476,4,23,0,0,62,0,250000,11,winner
0.644,0.4,3,-5.713,1,0.0304,0.214,0.0,0.0866,0.227,115.025,4,23,0,0,61,0,243200,11,winner
0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,4,23,0,0,77,0,242973,11,winner
0.706,0.57,0,-7.045,0,0.086,0.0225,0.0,0.0754,0.728,159.908,4,23,0,0,53,0,278040,11,winner
0.415,0.266,0,-8.44,1,0.0308,0.957,1.18e-06,0.183,0.282,138.096,4,23,0,0,52,0,228293,11,winner
0.547,0.848,2,-2.684,1,0.0367,0.049,0.0,0.114,0.749,160.063,4,23,0,0,50,0,241351,11,winner
0.528,0.468,5,-5.306,1,0.0287,0.295,0.0,0.165,0.185,154.974,3,23,0,0,64,0,348226,11,winner
0.689,0.369,0,-9.407,0,0.0278,0.693,0.00236,0.111,0.361,116.885,4,23,0,0,55,0,316240,11,winner
0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,4,23,0,0,77,0,285240,11,winner
